"Sprint & Dates","CON Code","Feature","Description & Explanation","Example / Use Case","Notes / Questions"
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON011","File Uploader for Text Files","Add a drag-and-drop uploader in the Personal Vault for text files (up to 5MB). Checks file size and type for secure upload.","A user drags a 3MB text file (e.g., resume.txt) which is validated and uploaded to the vault.","Applies to all users for basic file management."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON013","Privacy Confirmation Popup for File Uploads","Display a popup after upload stating “Encrypted with AES256, wiped after use—no traces left.” Log the action in the AuditLog.","A user uploads a file, sees the encryption confirmation, and the action is logged with timestamp and user ID.","Ensures user trust and auditing compliance."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON014","AutoTagging for Text Files","Automatically tag uploaded text files with 10 keywords using the LLaMA model on SageMaker to improve file organization and search.","A text file about 'project planning' is tagged with keywords such as “project,” “planning,” “tasks,” and “deadlines.”","Enhances searchability and organization."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON015","Extend File Uploader for PDFs","Update uploader to support PDFs (up to 5MB), parse citations within the PDF, and auto-tag with 10 keywords.","A user uploads a 4MB research paper PDF; LLaMA tags it with “research,” “study,” “citations” and extracts citation references.","Question: What exactly does “parse citations within the PDF” mean? (It involves extracting bibliographic/reference data.)"
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON016","Extend File Uploader for Images with OCR","Support image files (.jpg, .png up to 5MB) by using AWS Rekognition for OCR to extract text, then auto-tag with 10 keywords via LLaMA.","A 2MB scanned image of a note is processed; extracted text 'Meeting Notes: Plan Q2' is tagged with “meeting,” “notes,” “Q2.”","Useful for digitizing scanned documents."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON017","Extend File Uploader for Spreadsheets","Allow .xlsx files (up to 5MB) by parsing data and auto-tagging with 10 keywords to help organize tabular data.","A 1MB spreadsheet with budget data is tagged with “budget,” “expenses,” “finance,” “data.”","Particularly for professionals handling financial/data-driven spreadsheets."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON018","Extend File Uploader for Multi-Page Tables","Enable support for PDFs with multi-page tables (up to 5MB), parse tables, and auto-tag with 10 keywords.","A 3MB PDF with a 5-page sales data table is tagged with “sales,” “data,” “tables,” “revenue.”","Question: Need a method to decide when to use OCR vs. direct parsing (for scanned vs. editable PDFs)."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON019","Extend File Uploader for Embedded Charts","Detect and tag charts embedded in documents (e.g., PDFs up to 5MB) using 10 keywords via LLaMA.","A PDF containing an embedded bar chart of sales trends is tagged with “chart,” “sales,” “trends,” “visual.”","Aimed at professionals analyzing visual data."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON020","Extend File Uploader for ABA Logs","Support .csv files for ABA logs (used in behavioral therapy) up to 5MB and auto-tag with 10 keywords.","A therapist uploads a 2MB ABA log; LLaMA tags it with “ABA,” “behavior,” “therapy,” “patient.”","Question: Need to review the structure of ABA logs (e.g., date, behavior type, frequency)."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON023","Deploy LLaMA Model on AWS SageMaker","Deploy the LLaMA 2 13B Chat model (or LLaMA 3.1 8B) on AWS SageMaker using JumpStart on an ml.g5.12xlarge instance. Create an endpoint (‘contextufy-llama-endpoint’).","LLaMA is deployed and an endpoint is created to process tagging requests.","Ensures secure and efficient AI processing for tagging and queries."
"Sprint 3 (Mar 17 - Mar 23, 2025)","CON025","Implement File Encryption","Add AES-256 encryption to all uploaded files before storing in S3 to secure user data.","A file is encrypted with AES-256 and then stored, ensuring only authorized access can decrypt it.","Critical for user data security and privacy."
"Sprint 4 (Apr 5 - Apr 11, 2025)","CON032","Define Pro Plan Benefits","Define and display the benefits of the Pro plan (e.g., unlimited AI insights, advanced sharing, priority support) on the subscription page.","The subscription page shows: 'Pro Plan: Unlimited AI insights, advanced sharing, priority support — $15/month.'","Encourages users to upgrade to the Pro tier."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON036","Add Prompt Input for AI Queries","Add a text field labeled 'Ask Anything...' with a tooltip for users to input AI queries.","A user types 'Summarize my project notes' and sees the tooltip 'Ask anything!' on hover.","Enables core AI query functionality for all users."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON037","Implement AI Suggestion Popup","Show a popup labeled 'AI Suggested Files' with 3 file suggestions (checkboxes) based on the user's prompt.","For the query 'Summarize my project plan,' LLaMA extracts keywords and suggests files like 'ProjectPlan.pdf,' 'Notes.txt,' 'Timeline.xlsx.'","Enhances accuracy and context of AI responses by pre-selecting relevant files."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON038","Add Preview Popup for Suggested Files","Add a 'View' button in the AI Suggestion Popup to preview file content with highlighted tags.","A user clicks 'View' on 'ProjectPlan.pdf' and sees its content with highlighted tags before closing the popup.","Helps users choose the most relevant files for their query."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON039","Add Select File Button for AI Queries","Add a 'Select File' button in the AI Suggestion Popup for users to confirm file selection for the query.","A user selects 'ProjectPlan.pdf' and 'Notes.txt' and clicks 'Select File' to include them in the AI query.","Ensures that only chosen files are processed by the AI."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON040","Implement Context Summarization for AI Queries","Automatically summarize the content of a selected file to provide concise context for AI processing, displayed above the AI response.","A file ('ProjectPlan.pdf') is summarized as 'Project plan for Q2, includes tasks and deadlines' and shown above the AI’s answer.","Improves AI response accuracy for Pro and Enterprise users."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON041","Display AI Response with Loading State","Show a loading spinner in the 'AI Response' area while processing the query, then display the final AI response.","A user submits a query and sees a spinner for 5 seconds before the response appears (e.g., 'Here’s a summary of your project plan...').","Enhances user experience during query processing."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON042","Add Save Options for AI Responses","Add buttons for 'Save to Private' and 'Save to Community' in the AI Response area to allow users to save responses.","After receiving an AI response, a user clicks 'Save to Community' and the response is stored in the 'Team Notes' Community Vault.","Supports recordkeeping and collaboration by saving AI outputs."
"Sprint 5 (Apr 12 - Apr 18, 2025)","CON043","Implement Meeting Notes Action Item Extractor Plug-In","Create a plug-in that extracts actionable items from meeting notes via a Lambda function.","Input: 'Discuss Q2 goals, assign tasks to John by Friday.' Output: 'Action Item: Assign tasks to John, Due: Friday.'","Helps Pro/Enterprise users automate task extraction from meeting notes."
"Sprint 6 (Apr 19 - Apr 25, 2025)","CON046","Implement Budget Analyzer Template","Add a Budget Analyzer template in the Prompt Area to allow users to input financial data and receive an analysis.","A user inputs 'Rent: $1,000, Food: $300' and the plug-in outputs 'Total: $1,300, Rent: 77%, Food: 23%'","Aids financial planning for Pro and Enterprise users."
"Sprint 6 (Apr 19 - Apr 25, 2025)","CON047","Implement Expense Tracker Plug-In","Create a plug-in for tracking expenses by category and date, outputting a categorized expense report via Lambda.","A user inputs 'Groceries: $50, 2025-04-20' and the plug-in outputs 'Groceries: $50, Total: $50'","Useful for expense tracking and financial management."
"Sprint 6 (Apr 19 - Apr 25, 2025)","CON048","Implement ABA Log Summarization","For ABA logs in CSV format, generate trend summaries and visualizations, saving output as a smart doc.","A therapist uploads a CSV ABA log with entries like 'Tantrum: 3 times, 2025-04-20' and receives a summary: 'Tantrum frequency: 3/day, Trend: Decreasing'","Question: Review the exact structure of ABA logs for accurate processing."
"Sprint 6 (Apr 19 - Apr 25, 2025)","CON049","Add Session Summarization for Pro/Enterprise","Automatically summarize AI sessions (prompt, response, files used) and save the summary for review.","For the query 'Summarize my project plan,' the session is summarized as 'Prompt: Summarize project plan, Files: ProjectPlan.pdf, Response: Key tasks and deadlines.'","Helps Pro/Enterprise users review past AI interactions."
"Sprint 9 (May 13 - May 19, 2025)","CON067","Create Plug-In Registry Backend","Create a DynamoDB table and Lambda functions (RegisterPlugIn, ExecutePlugIn) for managing plug-in metadata and execution.","A plug-in 'Meeting Notes Extractor' is registered with metadata and later executed to process user inputs.","Enables extensibility by managing both pre-built and user-created plug-ins."
"Sprint 9 (May 13 - May 19, 2025)","CON068","Add Manage Plug-Ins Section in Admin Page","Provide a UI for admins to upload and manage plug-ins with fields for metadata and scripts, and register via Lambda.","An admin uploads a new plug-in 'Task Extractor' with associated details and registers it.","Ensures controlled availability and management of plug-ins by tier."
"Sprint 9 (May 13 - May 19, 2025)","CON069","Extend Templates Section to Support Dynamic Plug-Ins","Update the Templates section in the Prompt Area to dynamically list available plug-ins based on user tier and approval status.","A Pro user sees a 'Budget Analyzer' plug-in, inputs 'Rent: $1,000,' and the plug-in outputs 'Total: $1,000.'","Enhances usability by only displaying approved plug-ins for the user’s tier."
"Sprint 7 (Apr 26 - May 2, 2025)","CON051","Implement URL Summarization","Add a 'Paste URL to Summarize' field in the Personal Vault, fetch HTML content, summarize, tag (3-5 keywords), and save as a smart doc.","A user pastes 'https://example.com/article' and receives a summary tagged with 'article,' 'news,' 'example.'","Facilitates quick summarization and organization of web content."
"Sprint 7 (Apr 26 - May 2, 2025)","CON052","Implement Chrome Extension","Add a 'Save to Contextufy Vault' button in a Chrome extension popup to capture URL, title, and HTML, sending it to the webclip endpoint.","A user right-clicks on a webpage and selects 'Save to Contextufy Vault,' receiving a 'Web page saved' notification.","Enhances ease of capturing online content directly from the browser."
"Sprint 7 (Apr 26 - May 2, 2025)","CON054","Implement Zotero/Mendeley Sync","Add a 'Sync Library' button in the Personal Vault to authenticate with Zotero/Mendeley, select a library, auto-tag, and import items.","A researcher syncs 10 .bib files which are then tagged with 'research' and 'references.'","Specific to researchers managing reference libraries."
"Sprint 8 (May 3 - May 12, 2025)","CON055","Implement LinkedIn Profile Summary","Add a field to paste a LinkedIn Profile URL, fetch and summarize profile data, and save as a smart doc.","A user pastes a LinkedIn URL and gets a summary like 'John Doe, Software Engineer, 5 years experience.'","Useful for professionals networking or researching contacts."
"Sprint 8 (May 3 - May 12, 2025)","CON056","Implement Google Drive Import","Add an 'Import from Google Drive' button in the Personal Vault to authenticate, select files, auto-tag, and save them.","A user imports a PDF from Google Drive, which is tagged with 'document' and 'Google.'","Simplifies bringing existing documents into the platform."
"Sprint 8 (May 3 - May 12, 2025)","CON057","Implement Email Inbox Sync","Add a 'Link Email Inbox' button to sync Gmail/Outlook, set sync frequency, import emails, summarize, tag, and save as smart docs.","A user links their Gmail account, and daily emails are imported and summarized (e.g., 'Meeting invite: 2025-05-10').","Helps manage email-based information on the platform."
"Sprint 9 (May 13 - May 19, 2025)","CON060","Implement Court Calendar Timelines","Add a 'Calendar Feed' section in the Personal Vault to upload .ics files or connect a calendar, parse dates, and generate a timeline smart doc.","A lawyer uploads an .ics file and receives a smart doc: 'Timeline: Hearing on 2025-06-01.'","Specific to legal professionals managing court schedules."
"Sprint 10 (May 20 - May 26, 2025)","CON073","Implement Scalability Testing","Stress-test the platform with 100+ simulated users, optimizing performance with caching and responsive design.","A simulation with 100 users uploading files and asking AI queries confirms the platform maintains performance.","Ensures scalability and performance for the official launch."
